post_id,title,category,score,num_comments,author,collected_at
47694093,"One item purchased, ten emails",technology,122,94,speckx,2026-04-09 15:34:19
47671219,John Coltrane illustrates the mathematics of jazz,other,130,22,luu,2026-04-09 15:34:21
47667321,Peptides: where to begin?,other,261,401,A_D_E_P_T,2026-04-09 15:34:23
47697479,WireGuard VPN developer's Microsoft account locked,other,32,8,worik,2026-04-09 15:34:25
47643326,Hobby CNC machining and resin casting (2015),other,40,11,achierius,2026-04-09 15:34:29
47691174,Show HN: Explore the Silk Roads through an interactive map,entertainment,47,6,intofarlands,2026-04-09 15:34:31
47672884,Identify a London Underground Line just by listening to it,other,181,58,nelson687,2026-04-09 15:34:33
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,113,26,rryan,2026-04-09 15:34:35
47654629,The Harvard Library Passport,sports,40,15,fi-le,2026-04-09 15:34:38
47693407,Show HN: 500k+ events/sec transformations for ClickHouse ingestion,entertainment,12,3,super_ar,2026-04-09 15:34:43
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,224,27,MediaSquirrel,2026-04-09 15:34:50
47637353,SQLite in Production: Lessons from Running a Store on a Single File,other,204,128,thunderbong,2026-04-09 15:34:52
47669337,Solod – A subset of Go that translates to C,other,174,48,TheWiggles,2026-04-09 15:34:57
